Gaze point: [0.351694, -0.739722]
Gaze point: [0.362922, -0.738188]
Gaze point: [0.369752, -0.739601]
Gaze point: [0.376937, -0.74198]
Gaze point: [0.383953, -0.74131]
Gaze point: [0.389603, -0.74023]
Gaze point: [0.392158, -0.740717]
Gaze point: [0.395313, -0.740611]
Gaze point: [0.39768, -0.740474]
Gaze point: [0.398302, -0.742253]
Gaze point: [0.398792, -0.740813]
Gaze point: [0.398529, -0.738961]
